,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17
TCGA-AO-A03M_1.3.6.1.4.1.14519.5.2.1.9203.4002.112423030568957082578123456874,0.173596948,1.786818216,-0.103130589,1.2272098,-0.970789594,-0.997524867,-0.619747834,0.224758469,2.829761478,-0.836722748,-0.209319825,0.440977224,-0.189684135,-0.17400984,2.437277308,57.28983037,-7.997076812
TCGA-AO-A03M_1.3.6.1.4.1.14519.5.2.1.9203.4002.193499689386770689211199603682,0.173596948,1.786818216,-0.103130589,1.2272098,-0.970789594,-0.997524867,-0.619747834,0.224758469,2.829761478,-0.836722748,-0.209319825,0.440977224,-0.189684135,-0.17400984,2.437277308,57.28983037,-7.997076812
TCGA-AO-A03M_1.3.6.1.4.1.14519.5.2.1.9203.4002.228435425181225378503234490297,0.173596948,1.786818216,-0.103130589,1.2272098,-0.970789594,-0.997524867,-0.619747834,0.224758469,2.829761478,-0.836722748,-0.209319825,0.440977224,-0.189684135,-0.17400984,2.437277308,57.28983037,-7.997076812
TCGA-AO-A03M_1.3.6.1.4.1.14519.5.2.1.9203.4002.248253412869892897948991929221,0.173596948,1.786818216,-0.103130589,1.2272098,-0.970789594,-0.997524867,-0.619747834,0.224758469,2.829761478,-0.836722748,-0.209319825,0.440977224,-0.189684135,-0.17400984,2.437277308,57.28983037,-7.997076812
TCGA-AO-A03M_1.3.6.1.4.1.14519.5.2.1.9203.4002.277167521634486945131875825174,0.173596948,1.786818216,-0.103130589,1.2272098,-0.970789594,-0.997524867,-0.619747834,0.224758469,2.829761478,-0.836722748,-0.209319825,0.440977224,-0.189684135,-0.17400984,2.437277308,57.28983037,-7.997076812
TCGA-AO-A03M_1.3.6.1.4.1.14519.5.2.1.9203.4002.968176437755076605598557347150,0.173596948,1.786818216,-0.103130589,1.2272098,-0.970789594,-0.997524867,-0.619747834,0.224758469,2.829761478,-0.836722748,-0.209319825,0.440977224,-0.189684135,-0.17400984,2.437277308,57.28983037,-7.997076812
TCGA-AO-A0JI_1.3.6.1.4.1.14519.5.2.1.9203.4002.115495544730113615407489736518,-0.85639859,0.173209568,-0.234068491,-0.638965927,-0.944845137,-1.898896863,-1.025271475,0.802396566,3.202653256,0.705859607,0.793986462,0.982632333,-0.118586839,-0.700996537,0.416255474,56.036309,-9.745083755
TCGA-AO-A0JI_1.3.6.1.4.1.14519.5.2.1.9203.4002.121711240237852036041501966971,-0.85639859,0.173209568,-0.234068491,-0.638965927,-0.944845137,-1.898896863,-1.025271475,0.802396566,3.202653256,0.705859607,0.793986462,0.982632333,-0.118586839,-0.700996537,0.416255474,56.036309,-9.745083755
TCGA-AO-A0JI_1.3.6.1.4.1.14519.5.2.1.9203.4002.246000845477490232289350799213,-0.85639859,0.173209568,-0.234068491,-0.638965927,-0.944845137,-1.898896863,-1.025271475,0.802396566,3.202653256,0.705859607,0.793986462,0.982632333,-0.118586839,-0.700996537,0.416255474,56.036309,-9.745083755
TCGA-AO-A0JI_1.3.6.1.4.1.14519.5.2.1.9203.4002.334182540775428733095759970217,-0.85639859,0.173209568,-0.234068491,-0.638965927,-0.944845137,-1.898896863,-1.025271475,0.802396566,3.202653256,0.705859607,0.793986462,0.982632333,-0.118586839,-0.700996537,0.416255474,56.036309,-9.745083755
